,Unnamed: 0,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,0,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2011,227 km2,220.85 ha,1 %,5 Broj,75 Broj,6697 Broj,17017 Broj,8237 Broj,8780 Broj,0.94 Odnos,1.07 Odnos,1003 Broj,5.9 %,1347 Broj,7.9 %,774 Broj,4.5 %,14076 Broj,82.7 %,3103 Broj,18.2 %,11596 Broj,68.1 %,3718 Broj,21.8 %,3071 Broj,18 %,42.63 Broj,130.8 Indeks,125 Broj,7.35 ‰,280 Broj,16.45 ‰,0 Broj,0 ‰,-155 Broj,-9.11 ‰,44.64 Indeks,1.2 Koeficijent,68 Broj,75.8 Broj,46.7 Broj,20.3 Broj,26.5 Broj,86 Broj,28 Broj,3.1 Broj,19 Broj,100.12 km,0.4 km,4058 Broj,238 Broj,5645 Broj,84.3 %,0 Broj,0 %,3 Broj,0.2 Broj,62.5 %,20.7 %
1,1,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2012,227 km2,220.85 ha,1 %,5 Broj,74 Broj,6697 Broj,16877 Broj,8167 Broj,8710 Broj,0.94 Odnos,1.07 Odnos,972 Broj,5.8 %,1320 Broj,7.8 %,780 Broj,4.6 %,13998 Broj,82.9 %,3067 Broj,18.2 %,11477 Broj,68 %,3664 Broj,21.7 %,3108 Broj,18.4 %,42.86 Broj,134.9 Indeks,138 Broj,8.18 ‰,273 Broj,16.18 ‰,0 Broj,0 ‰,-135 Broj,-8 ‰,50.55 Indeks,1.35 Koeficijent,69.2 Broj,76.2 Broj,47.1 Broj,20 Broj,27.1 Broj,79 Broj,19 Broj,4.2 Broj,-10 Broj,100.12 km,0.4 km,4205 Broj,249 Broj,5735 Broj,85.6 %,0 Broj,0 %,3 Broj,0.2 Broj,57 %,24.1 %
2,2,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2013,227 km2,220.85 ha,1 %,5 Broj,74 Broj,6697 Broj,16714 Broj,8081 Broj,8633 Broj,0.94 Odnos,1.07 Odnos,947 Broj,5.7 %,1290 Broj,7.7 %,765 Broj,4.6 %,13914 Broj,83.2 %,3019 Broj,18.1 %,11356 Broj,67.9 %,3622 Broj,21.7 %,3121 Broj,18.7 %,43.05 Broj,138.3 Indeks,121 Broj,7.24 ‰,284 Broj,16.99 ‰,0 Broj,0 ‰,-163 Broj,-9.75 ‰,42.61 Indeks,1.19 Koeficijent,69.3 Broj,75.3 Broj,47.2 Broj,19.7 Broj,27.5 Broj,87 Broj,67 Broj,1.3 Broj,-16 Broj,100.12 km,0.4 km,4202 Broj,251 Broj,5753 Broj,85.9 %,359 Broj,5.4 %,1 Broj,0.1 Broj,57 %,24.1 %
3,3,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2014,227 km2,228.93 ha,1 %,5 Broj,73 Broj,6697 Broj,16555 Broj,8000 Broj,8555 Broj,0.94 Odnos,1.07 Odnos,938 Broj,5.7 %,1270 Broj,7.7 %,729 Broj,4.4 %,13812 Broj,83.4 %,2955 Broj,17.8 %,11200 Broj,67.7 %,3573 Broj,21.6 %,3147 Broj,19 %,43.22 Broj,142.1 Indeks,150 Broj,9.06 ‰,268 Broj,16.19 ‰,0 Broj,0 ‰,-118 Broj,-7.13 ‰,55.97 Indeks,1.5 Koeficijent,69.2 Broj,77 Broj,47.8 Broj,19.7 Broj,28.1 Broj,78 Broj,33 Broj,2.4 Broj,-23 Broj,100.12 km,0.4 km,4293 Broj,259 Broj,5963 Broj,89 %,651 Broj,9.7 %,0 Broj,0 Broj,57 %,24.1 %
4,4,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2015,227 km2,228.93 ha,1 %,5 Broj,72 Broj,6697 Broj,16400 Broj,7926 Broj,8474 Broj,0.94 Odnos,1.07 Odnos,935 Broj,5.7 %,1257 Broj,7.7 %,690 Broj,4.2 %,13707 Broj,83.6 %,2868 Broj,17.5 %,11009 Broj,67.1 %,3527 Broj,21.5 %,3199 Broj,19.5 %,43.37 Broj,146.5 Indeks,125 Broj,7.62 ‰,291 Broj,17.74 ‰,0 Broj,0 ‰,-166 Broj,-10.12 ‰,42.96 Indeks,1.25 Koeficijent,69 Broj,76.6 Broj,49 Broj,19.9 Broj,29.1 Broj,91 Broj,36 Broj,2.5 Broj,-3 Broj,100.12 km,0.4 km,4402 Broj,268 Broj,5963 Broj,89 %,877 Broj,13.1 %,3 Broj,0.2 Broj,57 %,24.1 %
5,5,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2016,227 km2,228.93 ha,1 %,5 Broj,72 Broj,6697 Broj,16237 Broj,7852 Broj,8385 Broj,0.94 Odnos,1.07 Odnos,921 Broj,5.7 %,1232 Broj,7.6 %,668 Broj,4.1 %,13593 Broj,83.7 %,2807 Broj,17.3 %,10842 Broj,66.8 %,3473 Broj,21.4 %,3242 Broj,20 %,43.53 Broj,150.8 Indeks,122 Broj,7.51 ‰,286 Broj,17.61 ‰,0 Broj,0 ‰,-164 Broj,-10.1 ‰,42.66 Indeks,1.24 Koeficijent,69.1 Broj,77.3 Broj,49.8 Broj,19.9 Broj,29.9 Broj,86 Broj,34 Broj,2.5 Broj,8 Broj,100.12 km,0.4 km,4500 Broj,277 Broj,5963 Broj,89 %,1099 Broj,16.4 %,1 Broj,0.1 Broj,52 %,37.9 %
6,6,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2017,227 km2,228.93 ha,1 %,5 Broj,71 Broj,6697 Broj,16093 Broj,7791 Broj,8302 Broj,0.94 Odnos,1.07 Odnos,923 Broj,5.7 %,1201 Broj,7.5 %,659 Broj,4.1 %,13475 Broj,83.7 %,2773 Broj,17.2 %,10695 Broj,66.5 %,3422 Broj,21.3 %,3274 Broj,20.3 %,43.65 Broj,153 Indeks,145 Broj,9.01 ‰,288 Broj,17.9 ‰,0 Broj,0 ‰,-143 Broj,-8.89 ‰,50.35 Indeks,1.49 Koeficijent,69.9 Broj,76.1 Broj,50.5 Broj,19.9 Broj,30.6 Broj,87 Broj,32 Broj,2.7 Broj,10 Broj,100.14 km,0.4 km,4640 Broj,288 Broj,5963 Broj,89 %,1259 Broj,18.8 %,1 Broj,0.1 Broj,52 %,37.9 %
7,7,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2018,227 km2,228.93 ha,1 %,5 Broj,70 Broj,6697 Broj,15943 Broj,7735 Broj,8208 Broj,0.94 Odnos,1.06 Odnos,929 Broj,5.8 %,1169 Broj,7.3 %,650 Broj,4.1 %,13350 Broj,83.7 %,2741 Broj,17.2 %,10558 Broj,66.2 %,3396 Broj,21.3 %,3287 Broj,20.6 %,43.76 Broj,154.8 Indeks,130 Broj,8.15 ‰,292 Broj,18.32 ‰,0 Broj,0 ‰,-162 Broj,-10.16 ‰,44.52 Indeks,1.35 Koeficijent,69.7 Broj,76.2 Broj,51 Broj,19.9 Broj,31.1 Broj,82 Broj,41 Broj,2 Broj,-4 Broj,100.14 km,0.4 km,4714 Broj,296 Broj,5963 Broj,89 %,1259 Broj,18.8 %,1 Broj,0.1 Broj,52 %,37.9 %
8,8,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2019,227 km2,228.93 ha,1 %,5 Broj,70 Broj,6697 Broj,15779 Broj,7671 Broj,8108 Broj,0.95 Odnos,1.06 Odnos,929 Broj,5.9 %,1140 Broj,7.2 %,656 Broj,4.2 %,13220 Broj,83.8 %,2694 Broj,17.1 %,10402 Broj,65.9 %,3354 Broj,21.3 %,3308 Broj,21 %,43.87 Broj,156.2 Indeks,141 Broj,8.94 ‰,280 Broj,17.75 ‰,1 Broj,7.1 ‰,-139 Broj,-8.81 ‰,50.36 Indeks,1.5 Koeficijent,69.5 Broj,76.2 Broj,51.7 Broj,19.9 Broj,31.8 Broj,78 Broj,44 Broj,1.8 Broj,-24 Broj,100.16 km,0.4 km,4694 Broj,297 Broj,6210 Broj,92.7 %,1418 Broj,21.2 %,2 Broj,0.1 Broj,52 %,37.9 %
9,9,Ada,Severnobanatska oblast,Ada,Severnobanatska oblast,2020,227 km2,351.77 ha,1.6 %,5 Broj,69 Broj,6697 Broj,15617 Broj,7595 Broj,8022 Broj,0.95 Odnos,1.06 Odnos,928 Broj,5.9 %,1108 Broj,7.1 %,647 Broj,4.1 %,13104 Broj,83.9 %,2639 Broj,16.9 %,10229 Broj,65.5 %,3309 Broj,21.2 %,3352 Broj,21.5 %,43.95 Broj,157.6 Indeks,117 Broj,7.49 ‰,262 Broj,16.78 ‰,1 Broj,8.5 ‰,-145 Broj,-9.28 ‰,44.66 Indeks,1.27 Koeficijent,69 Broj,77.1 Broj,52.7 Broj,19.9 Broj,32.8 Broj,62 Broj,25 Broj,2.5 Broj,-16 Broj,100.16 km,0.4 km,4817 Broj,308 Broj,6214 Broj,92.8 %,1472 Broj,22 %,3 Broj,0.2 Broj,49.9 %,37.9 %
