,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2011,3226 км2,37886 ха,11.7 %,157 Број,514 Број,606433 Број,1658151 Број,785258 Број,872893 Број,0.9 Однос,1.11 Однос,113232 Број,6.8 %,119950 Број,7.2 %,66996 Број,4 %,1375138 Број,82.9 %,309588 Број,18.7 %,1155137 Број,69.7 %,399917 Број,24.1 %,269832 Број,16.3 %,41.71 Број,122.9 Индекс,17738 Број,10.7 ‰,20246 Број,12.21 ‰,102 Број,5.8 ‰,-2508 Број,-1.51 ‰,87.61 Индекс,1.44 Коефицијент,72.7 Број,77.8 Број,43.5 Број,20.2 Број,23.4 Број,9463 Број,2436 Број,3.9 Број,9727 Број,5804 км,1.8 км,473414 Број,286 Број,537373 Број,88.6 %,476477 Број,78.6 %,6416 Број,3.9 Број,0 %,0 %
1,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2012,3234 км2,37886 ха,11.7 %,157 Број,515 Број,606433 Број,1664218 Број,787411 Број,876807 Број,0.9 Однос,1.11 Однос,115596 Број,6.9 %,120124 Број,7.2 %,65595 Број,3.9 %,1379886 Број,82.9 %,304506 Број,18.3 %,1153555 Број,69.3 %,399720 Број,24 %,274943 Број,16.5 %,41.81 Број,125.6 Индекс,18362 Број,11.03 ‰,20725 Број,12.45 ‰,108 Број,5.9 ‰,-2363 Број,-1.42 ‰,88.6 Индекс,1.48 Коефицијент,73.1 Број,78.3 Број,44.3 Број,20.4 Број,23.8 Број,9073 Број,1752 Број,5.2 Број,7278 Број,5804.2 км,1.8 км,479685 Број,288 Број,559835 Број,92.3 %,516451 Број,85.2 %,8096 Број,4.9 Број,0 %,0 %
2,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2013,3234 км2,37886 ха,11.7 %,157 Број,516 Број,606433 Број,1669552 Број,789266 Број,880286 Број,0.9 Однос,1.12 Однос,117924 Број,7.1 %,121042 Број,7.2 %,63659 Број,3.8 %,1383860 Број,82.9 %,297937 Број,17.8 %,1148336 Број,68.8 %,399345 Број,23.9 %,282250 Број,16.9 %,41.91 Број,128.3 Индекс,18018 Број,10.79 ‰,20288 Број,12.15 ‰,103 Број,5.7 ‰,-2270 Број,-1.36 ‰,88.81 Индекс,1.45 Коефицијент,73.5 Број,78.5 Број,45.4 Број,20.8 Број,24.6 Број,9408 Број,1350 Број,7 Број,8020 Број,5783.2 км,1.8 км,490802 Број,294 Број,560256 Број,92.4 %,534966 Број,88.2 %,7596 Број,4.5 Број,0 %,0 %
3,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2014,3234 км2,61625.27 ха,19.1 %,156 Број,518 Број,606433 Број,1675043 Број,791485 Број,883558 Број,0.9 Однос,1.12 Однос,120283 Број,7.2 %,122287 Број,7.3 %,61387 Број,3.7 %,1387563 Број,82.8 %,290940 Број,17.4 %,1141789 Број,68.2 %,399111 Број,23.8 %,290684 Број,17.4 %,42.01 Број,130.8 Индекс,18427 Број,11 ‰,20698 Број,12.36 ‰,91 Број,4.9 ‰,-2271 Број,-1.36 ‰,89.03 Индекс,1.49 Коефицијент,73.6 Број,78.5 Број,46.7 Број,21.2 Број,25.5 Број,9408 Број,1061 Број,8.9 Број,7505 Број,5529.2 км,1.7 км,499308 Број,298 Број,571258 Број,94.2 %,536354 Број,88.4 %,4755 Број,2.8 Број,0 %,0 %
4,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2015,3234 км2,61625.27 ха,19.1 %,157 Број,519 Број,606433 Број,1679895 Број,793588 Број,886307 Број,0.9 Однос,1.12 Однос,122426 Број,7.3 %,123986 Број,7.4 %,59423 Број,3.5 %,1389715 Број,82.7 %,284303 Број,16.9 %,1133715 Број,67.5 %,398643 Број,23.7 %,299768 Број,17.8 %,42.1 Број,132.9 Индекс,18356 Број,10.93 ‰,21196 Број,12.62 ‰,82 Број,4.5 ‰,-2840 Број,-1.69 ‰,86.6 Индекс,1.48 Коефицијент,73.8 Број,78.6 Број,48.2 Број,21.7 Број,26.4 Број,9324 Број,2599 Број,3.6 Број,7309 Број,5813.77 км,1.8 км,510608 Број,304 Број,571465 Број,94.2 %,536586 Број,88.5 %,4014 Број,2.4 Број,0 %,0 %
5,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2016,3234 км2,61625.27 ха,19.1 %,157 Број,521 Број,606433 Број,1683962 Број,795295 Број,888667 Број,0.89 Однос,1.12 Однос,123752 Број,7.3 %,125643 Број,7.5 %,58864 Број,3.5 %,1390673 Број,82.6 %,278929 Број,16.6 %,1126763 Број,66.9 %,398210 Број,23.6 %,307804 Број,18.3 %,42.2 Број,134.3 Индекс,17967 Број,10.67 ‰,20803 Број,12.35 ‰,96 Број,5.3 ‰,-2836 Број,-1.68 ‰,86.37 Индекс,1.46 Коефицијент,74.2 Број,79 Број,49.5 Број,22.1 Број,27.3 Број,9030 Број,2401 Број,3.8 Број,6504 Број,5818.53 км,1.8 км,529305 Број,314 Број,571527 Број,94.2 %,536591 Број,88.5 %,3167 Број,1.9 Број,0 %,0 %
6,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2017,3234 км2,61987.2 ха,19.2 %,157 Број,522 Број,606433 Број,1687132 Број,796627 Број,890505 Број,0.89 Однос,1.12 Однос,124467 Број,7.4 %,127041 Број,7.5 %,59638 Број,3.5 %,1390582 Број,82.4 %,274274 Број,16.3 %,1119960 Број,66.4 %,397974 Број,23.6 %,315664 Број,18.7 %,42.3 Број,134.8 Индекс,18000 Број,10.67 ‰,21768 Број,12.9 ‰,73 Број,4.1 ‰,-3768 Број,-2.23 ‰,82.69 Индекс,1.48 Коефицијент,74.1 Број,78.8 Број,50.6 Број,22.5 Број,28.2 Број,9207 Број,2410 Број,3.8 Број,6437 Број,5756.11 км,1.8 км,553079 Број,328 Број,571667 Број,94.3 %,536701 Број,88.5 %,4478 Број,2.7 Број,0 %,0 %
7,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2018,3234 км2,61987.2 ха,19.2 %,156 Број,523 Број,606433 Број,1690193 Број,798019 Број,892174 Број,0.89 Однос,1.12 Однос,124862 Број,7.4 %,128776 Број,7.6 %,60847 Број,3.6 %,1390185 Број,82.3 %,269951 Број,16 %,1112334 Број,65.8 %,397647 Број,23.5 %,324221 Број,19.2 %,42.39 Број,134.5 Индекс,17959 Број,10.63 ‰,21484 Број,12.71 ‰,73 Број,4.1 ‰,-3525 Број,-2.09 ‰,83.59 Индекс,1.5 Коефицијент,74.2 Број,79 Број,52 Број,22.8 Број,29.1 Број,9053 Број,2715 Број,3.3 Број,6978 Број,5756.11 км,1.8 км,568305 Број,336 Број,573071 Број,94.5 %,539482 Број,89 %,5929 Број,3.5 Број,0 %,0 %
8,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2019,3234 км2,61987.2 ха,19.2 %,156 Број,524 Број,606433 Број,1694056 Број,799857 Број,894199 Број,0.89 Однос,1.12 Однос,124987 Број,7.4 %,131061 Број,7.7 %,62075 Број,3.7 %,1391011 Број,82.1 %,266604 Број,15.7 %,1105628 Број,65.3 %,397156 Број,23.4 %,332380 Број,19.6 %,42.47 Број,133.9 Индекс,18153 Број,10.72 ‰,21604 Број,12.75 ‰,66 Број,3.6 ‰,-3451 Број,-2.04 ‰,84.03 Индекс,1.53 Коефицијент,74.3 Број,79 Број,53.2 Број,23.2 Број,30.1 Број,9055 Број,2791 Број,3.2 Број,7724 Број,5748.29 км,1.8 км,595788 Број,352 Број,575172 Број,94.8 %,540132 Број,89.1 %,7611 Број,4.5 Број,0 %,0 %
9,Beograd - grad,Beogradska oblast (Grad Beograd),Београд - град,Београдска област (Град Београд),2020,3234 км2,62037.84 ха,19.2 %,156 Број,524 Број,606433 Број,1694480 Број,799786 Број,894694 Број,0.89 Однос,1.12 Однос,124659 Број,7.4 %,133401 Број,7.9 %,62673 Број,3.7 %,1389509 Број,82 %,263618 Број,15.6 %,1098630 Број,64.8 %,396149 Број,23.4 %,337790 Број,19.9 %,42.46 Број,132.9 Индекс,17236 Број,10.17 ‰,25526 Број,15.06 ‰,51 Број,3 ‰,-8290 Број,-4.89 ‰,67.52 Индекс,1.48 Коефицијент,72.3 Број,78.2 Број,54.2 Број,23.5 Број,30.7 Број,6031 Број,2438 Број,2.5 Број,4866 Број,5750.29 км,1.8 км,617981 Број,365 Број,573728 Број,94.6 %,540509 Број,89.1 %,7674 Број,4.5 Број,0 %,0 %
10,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2011,213 км2,4311.45 ха,20.2 %,13 Број,127 Број,8920 Број,27048 Број,13507 Број,13541 Број,1 Однос,1 Однос,1843 Број,6.8 %,2126 Број,7.9 %,1138 Број,4.2 %,22227 Број,82.2 %,4656 Број,17.2 %,18158 Број,67.1 %,5501 Број,20.3 %,4921 Број,18.2 %,42.86 Број,134.6 Индекс,246 Број,9.09 ‰,388 Број,14.34 ‰,2 Број,8.1 ‰,-142 Број,-5.25 ‰,63.4 Индекс,1.55 Коефицијент,71.5 Број,76.6 Број,49 Број,21.9 Број,27.1 Број,118 Број,13 Број,9.1 Број,327 Број,0 км,0 км,5852 Број,216 Број,0 Број,0 %,0 Број,0 %,12 Број,0.4 Број,65.6 %,18.2 %
11,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2012,213 км2,4311.45 ха,20.2 %,13 Број,127 Број,8920 Број,27125 Број,13554 Број,13571 Број,1 Однос,1 Однос,1816 Број,6.7 %,2127 Број,7.8 %,1130 Број,4.2 %,22344 Број,82.4 %,4613 Број,17 %,18128 Број,66.8 %,5502 Број,20.3 %,5054 Број,18.6 %,43.1 Број,139.7 Индекс,219 Број,8.07 ‰,352 Број,12.98 ‰,3 Број,13.7 ‰,-133 Број,-4.9 ‰,62.22 Индекс,1.37 Коефицијент,73 Број,77.6 Број,49.6 Број,21.8 Број,27.9 Број,128 Број,6 Број,21.3 Број,102 Број,0 км,0 км,6145 Број,227 Број,0 Број,0 %,0 Број,0 %,42 Број,1.5 Број,61.6 %,33.3 %
12,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2013,213 км2,4311.45 ха,20.2 %,13 Број,127 Број,8920 Број,27084 Број,13544 Број,13540 Број,1 Однос,1 Однос,1779 Број,6.6 %,2109 Број,7.8 %,1123 Број,4.1 %,22368 Број,82.6 %,4554 Број,16.8 %,17976 Број,66.4 %,5465 Број,20.2 %,5220 Број,19.3 %,43.38 Број,146.2 Индекс,246 Број,9.08 ‰,364 Број,13.44 ‰,2 Број,8.1 ‰,-118 Број,-4.36 ‰,67.58 Индекс,1.57 Коефицијент,72.4 Број,77.3 Број,50.7 Број,21.6 Број,29 Број,105 Број,3 Број,35 Број,66 Број,0 км,0 км,6402 Број,236 Број,0 Број,0 %,0 Број,0 %,7 Број,0.3 Број,61.6 %,33.3 %
13,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2014,213 км2,8455.27 ха,39.7 %,13 Број,127 Број,8920 Број,27031 Број,13519 Број,13512 Број,1 Однос,1 Однос,1753 Број,6.5 %,2110 Број,7.8 %,1091 Број,4 %,22348 Број,82.7 %,4473 Број,16.5 %,17732 Број,65.6 %,5441 Број,20.1 %,5436 Број,20.1 %,43.63 Број,152.2 Индекс,245 Број,9.06 ‰,397 Број,14.69 ‰,1 Број,4.1 ‰,-152 Број,-5.62 ‰,61.71 Индекс,1.55 Коефицијент,72.1 Број,77.3 Број,52.4 Број,21.8 Број,30.7 Број,136 Број,1 Број,136 Број,97 Број,0 км,0 км,6545 Број,242 Број,0 Број,0 %,0 Број,0 %,2 Број,0.1 Број,61.6 %,33.3 %
14,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2015,213 км2,8455.27 ха,39.7 %,13 Број,127 Број,8920 Број,27013 Број,13512 Број,13501 Број,1 Однос,1 Однос,1749 Број,6.5 %,2124 Број,7.9 %,1061 Број,3.9 %,22353 Број,82.7 %,4375 Број,16.2 %,17459 Број,64.6 %,5427 Број,20.1 %,5681 Број,21 %,43.84 Број,156.9 Индекс,234 Број,8.66 ‰,408 Број,15.1 ‰,2 Број,8.5 ‰,-174 Број,-6.44 ‰,57.35 Индекс,1.52 Коефицијент,71.9 Број,77.3 Број,54.7 Број,22.2 Број,32.5 Број,119 Број,12 Број,9.9 Број,194 Број,0 км,0 км,6710 Број,248 Број,0 Број,0 %,0 Број,0 %,25 Број,0.9 Број,61.6 %,33.3 %
15,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2016,213 км2,8455.27 ха,39.7 %,13 Број,127 Број,8920 Број,27024 Број,13519 Број,13505 Број,1 Однос,1 Однос,1746 Број,6.5 %,2138 Број,7.9 %,1038 Број,3.8 %,22392 Број,82.9 %,4285 Број,15.9 %,17236 Број,63.8 %,5406 Број,20 %,5904 Број,21.8 %,44.03 Број,159.8 Индекс,242 Број,8.96 ‰,373 Број,13.8 ‰,0 Број,0 ‰,-131 Број,-4.85 ‰,64.88 Индекс,1.58 Коефицијент,72.2 Број,78.2 Број,56.8 Број,22.5 Број,34.3 Број,135 Број,13 Број,10.4 Број,133 Број,0 км,0 км,6988 Број,259 Број,0 Број,0 %,0 Број,0 %,26 Број,1 Број,59.2 %,27.3 %
16,Beograd-Barajevo,Beogradska oblast (Grad Beograd),Београд-Барајево,Београдска област (Град Београд),2017,213 км2,8464.66 ха,39.7 %,13 Број,127 Број,8920 Број,26964 Број,13498 Број,13466 Број,1 Однос,1 Однос,1709 Број,6.3 %,2135 Број,7.9 %,1028 Број,3.8 %,22357 Број,82.9 %,4224 Број,15.7 %,17034 Број,63.2 %,5393 Број,20 %,6086 Број,22.6 %,44.21 Број,162.3 Индекс,227 Број,8.42 ‰,442 Број,16.39 ‰,1 Број,4.4 ‰,-215 Број,-7.97 ‰,51.36 Индекс,1.51 Коефицијент,72.5 Број,78.1 Број,58.3 Број,22.6 Број,35.7 Број,114 Број,10 Број,11.4 Број,93 Број,0 км,0 км,7226 Број,268 Број,0 Број,0 %,0 Број,0 %,6 Број,0.2 Број,59.2 %,27.3 %
