,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2011,3226 km2,37886 ha,11.7 %,157 Broj,514 Broj,606433 Broj,1658151 Broj,785258 Broj,872893 Broj,0.9 Odnos,1.11 Odnos,113232 Broj,6.8 %,119950 Broj,7.2 %,66996 Broj,4 %,1375138 Broj,82.9 %,309588 Broj,18.7 %,1155137 Broj,69.7 %,399917 Broj,24.1 %,269832 Broj,16.3 %,41.71 Broj,122.9 Indeks,17738 Broj,10.7 ‰,20246 Broj,12.21 ‰,102 Broj,5.8 ‰,-2508 Broj,-1.51 ‰,87.61 Indeks,1.44 Koeficijent,72.7 Broj,77.8 Broj,43.5 Broj,20.2 Broj,23.4 Broj,9463 Broj,2436 Broj,3.9 Broj,9727 Broj,5804 km,1.8 km,473414 Broj,286 Broj,537373 Broj,88.6 %,476477 Broj,78.6 %,6416 Broj,3.9 Broj,0 %,0 %
1,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2012,3234 km2,37886 ha,11.7 %,157 Broj,515 Broj,606433 Broj,1664218 Broj,787411 Broj,876807 Broj,0.9 Odnos,1.11 Odnos,115596 Broj,6.9 %,120124 Broj,7.2 %,65595 Broj,3.9 %,1379886 Broj,82.9 %,304506 Broj,18.3 %,1153555 Broj,69.3 %,399720 Broj,24 %,274943 Broj,16.5 %,41.81 Broj,125.6 Indeks,18362 Broj,11.03 ‰,20725 Broj,12.45 ‰,108 Broj,5.9 ‰,-2363 Broj,-1.42 ‰,88.6 Indeks,1.48 Koeficijent,73.1 Broj,78.3 Broj,44.3 Broj,20.4 Broj,23.8 Broj,9073 Broj,1752 Broj,5.2 Broj,7278 Broj,5804.2 km,1.8 km,479685 Broj,288 Broj,559835 Broj,92.3 %,516451 Broj,85.2 %,8096 Broj,4.9 Broj,0 %,0 %
2,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2013,3234 km2,37886 ha,11.7 %,157 Broj,516 Broj,606433 Broj,1669552 Broj,789266 Broj,880286 Broj,0.9 Odnos,1.12 Odnos,117924 Broj,7.1 %,121042 Broj,7.2 %,63659 Broj,3.8 %,1383860 Broj,82.9 %,297937 Broj,17.8 %,1148336 Broj,68.8 %,399345 Broj,23.9 %,282250 Broj,16.9 %,41.91 Broj,128.3 Indeks,18018 Broj,10.79 ‰,20288 Broj,12.15 ‰,103 Broj,5.7 ‰,-2270 Broj,-1.36 ‰,88.81 Indeks,1.45 Koeficijent,73.5 Broj,78.5 Broj,45.4 Broj,20.8 Broj,24.6 Broj,9408 Broj,1350 Broj,7 Broj,8020 Broj,5783.2 km,1.8 km,490802 Broj,294 Broj,560256 Broj,92.4 %,534966 Broj,88.2 %,7596 Broj,4.5 Broj,0 %,0 %
3,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2014,3234 km2,61625.27 ha,19.1 %,156 Broj,518 Broj,606433 Broj,1675043 Broj,791485 Broj,883558 Broj,0.9 Odnos,1.12 Odnos,120283 Broj,7.2 %,122287 Broj,7.3 %,61387 Broj,3.7 %,1387563 Broj,82.8 %,290940 Broj,17.4 %,1141789 Broj,68.2 %,399111 Broj,23.8 %,290684 Broj,17.4 %,42.01 Broj,130.8 Indeks,18427 Broj,11 ‰,20698 Broj,12.36 ‰,91 Broj,4.9 ‰,-2271 Broj,-1.36 ‰,89.03 Indeks,1.49 Koeficijent,73.6 Broj,78.5 Broj,46.7 Broj,21.2 Broj,25.5 Broj,9408 Broj,1061 Broj,8.9 Broj,7505 Broj,5529.2 km,1.7 km,499308 Broj,298 Broj,571258 Broj,94.2 %,536354 Broj,88.4 %,4755 Broj,2.8 Broj,0 %,0 %
4,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2015,3234 km2,61625.27 ha,19.1 %,157 Broj,519 Broj,606433 Broj,1679895 Broj,793588 Broj,886307 Broj,0.9 Odnos,1.12 Odnos,122426 Broj,7.3 %,123986 Broj,7.4 %,59423 Broj,3.5 %,1389715 Broj,82.7 %,284303 Broj,16.9 %,1133715 Broj,67.5 %,398643 Broj,23.7 %,299768 Broj,17.8 %,42.1 Broj,132.9 Indeks,18356 Broj,10.93 ‰,21196 Broj,12.62 ‰,82 Broj,4.5 ‰,-2840 Broj,-1.69 ‰,86.6 Indeks,1.48 Koeficijent,73.8 Broj,78.6 Broj,48.2 Broj,21.7 Broj,26.4 Broj,9324 Broj,2599 Broj,3.6 Broj,7309 Broj,5813.77 km,1.8 km,510608 Broj,304 Broj,571465 Broj,94.2 %,536586 Broj,88.5 %,4014 Broj,2.4 Broj,0 %,0 %
5,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2016,3234 km2,61625.27 ha,19.1 %,157 Broj,521 Broj,606433 Broj,1683962 Broj,795295 Broj,888667 Broj,0.89 Odnos,1.12 Odnos,123752 Broj,7.3 %,125643 Broj,7.5 %,58864 Broj,3.5 %,1390673 Broj,82.6 %,278929 Broj,16.6 %,1126763 Broj,66.9 %,398210 Broj,23.6 %,307804 Broj,18.3 %,42.2 Broj,134.3 Indeks,17967 Broj,10.67 ‰,20803 Broj,12.35 ‰,96 Broj,5.3 ‰,-2836 Broj,-1.68 ‰,86.37 Indeks,1.46 Koeficijent,74.2 Broj,79 Broj,49.5 Broj,22.1 Broj,27.3 Broj,9030 Broj,2401 Broj,3.8 Broj,6504 Broj,5818.53 km,1.8 km,529305 Broj,314 Broj,571527 Broj,94.2 %,536591 Broj,88.5 %,3167 Broj,1.9 Broj,0 %,0 %
6,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2017,3234 km2,61987.2 ha,19.2 %,157 Broj,522 Broj,606433 Broj,1687132 Broj,796627 Broj,890505 Broj,0.89 Odnos,1.12 Odnos,124467 Broj,7.4 %,127041 Broj,7.5 %,59638 Broj,3.5 %,1390582 Broj,82.4 %,274274 Broj,16.3 %,1119960 Broj,66.4 %,397974 Broj,23.6 %,315664 Broj,18.7 %,42.3 Broj,134.8 Indeks,18000 Broj,10.67 ‰,21768 Broj,12.9 ‰,73 Broj,4.1 ‰,-3768 Broj,-2.23 ‰,82.69 Indeks,1.48 Koeficijent,74.1 Broj,78.8 Broj,50.6 Broj,22.5 Broj,28.2 Broj,9207 Broj,2410 Broj,3.8 Broj,6437 Broj,5756.11 km,1.8 km,553079 Broj,328 Broj,571667 Broj,94.3 %,536701 Broj,88.5 %,4478 Broj,2.7 Broj,0 %,0 %
7,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2018,3234 km2,61987.2 ha,19.2 %,156 Broj,523 Broj,606433 Broj,1690193 Broj,798019 Broj,892174 Broj,0.89 Odnos,1.12 Odnos,124862 Broj,7.4 %,128776 Broj,7.6 %,60847 Broj,3.6 %,1390185 Broj,82.3 %,269951 Broj,16 %,1112334 Broj,65.8 %,397647 Broj,23.5 %,324221 Broj,19.2 %,42.39 Broj,134.5 Indeks,17959 Broj,10.63 ‰,21484 Broj,12.71 ‰,73 Broj,4.1 ‰,-3525 Broj,-2.09 ‰,83.59 Indeks,1.5 Koeficijent,74.2 Broj,79 Broj,52 Broj,22.8 Broj,29.1 Broj,9053 Broj,2715 Broj,3.3 Broj,6978 Broj,5756.11 km,1.8 km,568305 Broj,336 Broj,573071 Broj,94.5 %,539482 Broj,89 %,5929 Broj,3.5 Broj,0 %,0 %
8,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2019,3234 km2,61987.2 ha,19.2 %,156 Broj,524 Broj,606433 Broj,1694056 Broj,799857 Broj,894199 Broj,0.89 Odnos,1.12 Odnos,124987 Broj,7.4 %,131061 Broj,7.7 %,62075 Broj,3.7 %,1391011 Broj,82.1 %,266604 Broj,15.7 %,1105628 Broj,65.3 %,397156 Broj,23.4 %,332380 Broj,19.6 %,42.47 Broj,133.9 Indeks,18153 Broj,10.72 ‰,21604 Broj,12.75 ‰,66 Broj,3.6 ‰,-3451 Broj,-2.04 ‰,84.03 Indeks,1.53 Koeficijent,74.3 Broj,79 Broj,53.2 Broj,23.2 Broj,30.1 Broj,9055 Broj,2791 Broj,3.2 Broj,7724 Broj,5748.29 km,1.8 km,595788 Broj,352 Broj,575172 Broj,94.8 %,540132 Broj,89.1 %,7611 Broj,4.5 Broj,0 %,0 %
9,Beograd - grad,Beogradska oblast (Grad Beograd),Beograd - grad,Beogradska oblast (Grad Beograd),2020,3234 km2,62037.84 ha,19.2 %,156 Broj,524 Broj,606433 Broj,1694480 Broj,799786 Broj,894694 Broj,0.89 Odnos,1.12 Odnos,124659 Broj,7.4 %,133401 Broj,7.9 %,62673 Broj,3.7 %,1389509 Broj,82 %,263618 Broj,15.6 %,1098630 Broj,64.8 %,396149 Broj,23.4 %,337790 Broj,19.9 %,42.46 Broj,132.9 Indeks,17236 Broj,10.17 ‰,25526 Broj,15.06 ‰,51 Broj,3 ‰,-8290 Broj,-4.89 ‰,67.52 Indeks,1.48 Koeficijent,72.3 Broj,78.2 Broj,54.2 Broj,23.5 Broj,30.7 Broj,6031 Broj,2438 Broj,2.5 Broj,4866 Broj,5750.29 km,1.8 km,617981 Broj,365 Broj,573728 Broj,94.6 %,540509 Broj,89.1 %,7674 Broj,4.5 Broj,0 %,0 %
