,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2011,707 км2,24338.73 ха,34.4 %,72 Број,73 Број,17016 Број,51903 Број,25697 Број,26206 Број,0.98 Однос,1.02 Однос,3050 Број,5.9 %,3976 Број,7.7 %,2392 Број,4.6 %,43116 Број,83.1 %,9113 Број,17.6 %,34367 Број,66.2 %,10663 Број,20.5 %,10510 Број,20.2 %,43.82 Број,145.8 Индекс,371 Број,7.15 ‰,927 Број,17.86 ‰,3 Број,8.1 ‰,-556 Број,-10.71 ‰,40.02 Индекс,1.26 Коефицијент,69.2 Број,75.2 Број,51 Број,20.4 Број,30.6 Број,159 Број,45 Број,3.5 Број,-86 Број,281.75 км,0.4 км,8839 Број,170 Број,10459 Број,61.5 %,2656 Број,15.6 %,16 Број,0.3 Број,59 %,16.4 %
1,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2012,707 км2,24338.73 ха,34.4 %,72 Број,72 Број,17016 Број,51215 Број,25395 Број,25820 Број,0.98 Однос,1.02 Однос,2949 Број,5.8 %,3916 Број,7.6 %,2299 Број,4.5 %,42677 Број,83.3 %,8946 Број,17.5 %,33964 Број,66.3 %,10516 Број,20.5 %,10386 Број,20.3 %,43.97 Број,149.6 Индекс,411 Број,8.02 ‰,1052 Број,20.54 ‰,10 Број,24.3 ‰,-641 Број,-12.52 ‰,39.07 Индекс,1.41 Коефицијент,68.6 Број,74.1 Број,50.8 Број,20.2 Број,30.6 Број,183 Број,71 Број,2.6 Број,-92 Број,282.15 км,0.4 км,9213 Број,180 Број,10459 Број,61.5 %,2656 Број,15.6 %,27 Број,0.5 Број,59.5 %,30.9 %
2,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2013,707 км2,24338.73 ха,34.4 %,72 Број,71 Број,17016 Број,50543 Број,25088 Број,25455 Број,0.99 Однос,1.01 Однос,2887 Број,5.7 %,3866 Број,7.6 %,2185 Број,4.3 %,42187 Број,83.5 %,8759 Број,17.3 %,33379 Број,66 %,10346 Број,20.5 %,10411 Број,20.6 %,44.07 Број,154.1 Индекс,385 Број,7.62 ‰,946 Број,18.72 ‰,5 Број,13 ‰,-561 Број,-11.1 ‰,40.7 Индекс,1.35 Коефицијент,69.4 Број,74.5 Број,51.4 Број,20.2 Број,31.2 Број,173 Број,80 Број,2.2 Број,-51 Број,253.13 км,0.4 км,9380 Број,186 Број,10459 Број,61.5 %,2656 Број,15.6 %,11 Број,0.2 Број,59.5 %,30.9 %
3,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2014,707 км2,26483.51 ха,37.5 %,72 Број,71 Број,17016 Број,49928 Број,24785 Број,25143 Број,0.99 Однос,1.01 Однос,2812 Број,5.6 %,3841 Број,7.7 %,2087 Број,4.2 %,41739 Број,83.6 %,8564 Број,17.2 %,32775 Број,65.6 %,10180 Број,20.4 %,10500 Број,21 %,44.2 Број,159.1 Индекс,360 Број,7.21 ‰,967 Број,19.37 ‰,9 Број,25 ‰,-607 Број,-12.16 ‰,37.23 Индекс,1.29 Коефицијент,68.8 Број,74.2 Број,52.3 Број,20.3 Број,32 Број,181 Број,66 Број,2.7 Број,-12 Број,271.7 км,0.4 км,9488 Број,190 Број,10459 Број,61.5 %,3600 Број,21.2 %,11 Број,0.2 Број,59.5 %,30.9 %
4,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2015,707 км2,26483.51 ха,37.5 %,72 Број,70 Број,17016 Број,49290 Број,24467 Број,24823 Број,0.99 Однос,1.01 Однос,2731 Број,5.5 %,3808 Број,7.7 %,2007 Број,4.1 %,41285 Број,83.8 %,8347 Број,16.9 %,32140 Број,65.2 %,10025 Број,20.3 %,10611 Број,21.5 %,44.35 Број,163.9 Индекс,371 Број,7.53 ‰,886 Број,17.98 ‰,2 Број,5.4 ‰,-515 Број,-10.45 ‰,41.87 Индекс,1.34 Коефицијент,70.1 Број,75.4 Број,53.4 Број,20.3 Број,33 Број,213 Број,50 Број,4.3 Број,-140 Број,271.3 км,0.4 км,9679 Број,196 Број,10713 Број,63 %,3751 Број,22 %,17 Број,0.3 Број,59.5 %,30.9 %
5,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2016,707 км2,26483.51 ха,37.5 %,72 Број,69 Број,17016 Број,48671 Број,24155 Број,24516 Број,0.99 Однос,1.01 Однос,2694 Број,5.5 %,3736 Број,7.7 %,1950 Број,4 %,40798 Број,83.8 %,8160 Број,16.8 %,31556 Број,64.8 %,9885 Број,20.3 %,10685 Број,22 %,44.49 Број,166.9 Индекс,370 Број,7.6 ‰,913 Број,18.76 ‰,1 Број,2.7 ‰,-543 Број,-11.16 ‰,40.53 Индекс,1.37 Коефицијент,70.4 Број,76.1 Број,54.2 Број,20.4 Број,33.9 Број,186 Број,77 Број,2.4 Број,-41 Број,284.04 км,0.4 км,10068 Број,207 Број,10796 Број,63.4 %,4204 Број,24.7 %,14 Број,0.3 Број,57.9 %,29.1 %
6,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2017,707 км2,26878.11 ха,38 %,72 Број,68 Број,17016 Број,48087 Број,23868 Број,24219 Број,0.99 Однос,1.01 Однос,2658 Број,5.5 %,3658 Број,7.6 %,1932 Број,4 %,40314 Број,83.8 %,7980 Број,16.6 %,31003 Број,64.5 %,9766 Број,20.3 %,10768 Број,22.4 %,44.63 Број,168.9 Индекс,365 Број,7.59 ‰,874 Број,18.18 ‰,4 Број,11 ‰,-509 Број,-10.58 ‰,41.76 Индекс,1.37 Коефицијент,71.9 Број,76.2 Број,55.1 Број,20.4 Број,34.7 Број,196 Број,94 Број,2.1 Број,-75 Број,283.74 км,0.4 км,10566 Број,220 Број,10796 Број,63.4 %,4370 Број,25.7 %,21 Број,0.4 Број,57.9 %,29.1 %
7,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2018,707 км2,26878.11 ха,38 %,72 Број,67 Број,17016 Број,47562 Број,23616 Број,23946 Број,0.99 Однос,1.01 Однос,2646 Број,5.6 %,3568 Број,7.5 %,1943 Број,4.1 %,39874 Број,83.8 %,7762 Број,16.3 %,30397 Број,63.9 %,9628 Број,20.2 %,10951 Број,23 %,44.78 Број,170.5 Индекс,415 Број,8.73 ‰,806 Број,16.95 ‰,1 Број,2.4 ‰,-391 Број,-8.22 ‰,51.49 Индекс,1.6 Коефицијент,71.9 Број,77.1 Број,56.5 Број,20.4 Број,36 Број,186 Број,80 Број,2.3 Број,-76 Број,283.74 км,0.4 км,10531 Број,221 Број,10796 Број,63.4 %,4370 Број,25.7 %,15 Број,0.3 Број,57.9 %,29.1 %
8,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2019,707 км2,26878.11 ха,38 %,72 Број,67 Број,17016 Број,47096 Број,23412 Број,23684 Број,0.99 Однос,1.01 Однос,2654 Број,5.6 %,3478 Број,7.4 %,1961 Број,4.2 %,39495 Број,83.9 %,7637 Број,16.2 %,29846 Број,63.4 %,9484 Број,20.1 %,11118 Број,23.6 %,44.9 Број,171.4 Индекс,399 Број,8.47 ‰,836 Број,17.75 ‰,4 Број,10 ‰,-437 Број,-9.28 ‰,47.73 Индекс,1.57 Коефицијент,72.3 Број,76.8 Број,57.8 Број,20.5 Број,37.3 Број,197 Број,77 Број,2.6 Број,-27 Број,277.13 км,0.4 км,10996 Број,233 Број,10796 Број,63.4 %,4822 Број,28.3 %,30 Број,0.6 Број,57.9 %,29.1 %
9,Aleksinac,Nisavska oblast,Алексинац,Нишавска област,2020,707 км2,26881.38 ха,38 %,72 Број,66 Број,17016 Број,46541 Број,23180 Број,23361 Број,0.99 Однос,1.01 Однос,2642 Број,5.7 %,3382 Број,7.3 %,1955 Број,4.2 %,39056 Број,83.9 %,7564 Број,16.3 %,29308 Број,63 %,9362 Број,20.1 %,11209 Број,24.1 %,44.93 Број,172.3 Индекс,387 Број,8.32 ‰,918 Број,19.72 ‰,2 Број,5.2 ‰,-531 Број,-11.41 ‰,42.16 Индекс,1.55 Коефицијент,71.9 Број,76.9 Број,58.8 Број,20.6 Број,38.2 Број,106 Број,55 Број,1.9 Број,-114 Број,277.53 км,0.4 км,11365 Број,244 Број,10833 Број,63.7 %,4822 Број,28.3 %,29 Број,0.6 Број,54.2 %,36.6 %
