,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2011,707 km2,24338.73 ha,34.4 %,72 Broj,73 Broj,17016 Broj,51903 Broj,25697 Broj,26206 Broj,0.98 Odnos,1.02 Odnos,3050 Broj,5.9 %,3976 Broj,7.7 %,2392 Broj,4.6 %,43116 Broj,83.1 %,9113 Broj,17.6 %,34367 Broj,66.2 %,10663 Broj,20.5 %,10510 Broj,20.2 %,43.82 Broj,145.8 Indeks,371 Broj,7.15 ‰,927 Broj,17.86 ‰,3 Broj,8.1 ‰,-556 Broj,-10.71 ‰,40.02 Indeks,1.26 Koeficijent,69.2 Broj,75.2 Broj,51 Broj,20.4 Broj,30.6 Broj,159 Broj,45 Broj,3.5 Broj,-86 Broj,281.75 km,0.4 km,8839 Broj,170 Broj,10459 Broj,61.5 %,2656 Broj,15.6 %,16 Broj,0.3 Broj,59 %,16.4 %
1,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2012,707 km2,24338.73 ha,34.4 %,72 Broj,72 Broj,17016 Broj,51215 Broj,25395 Broj,25820 Broj,0.98 Odnos,1.02 Odnos,2949 Broj,5.8 %,3916 Broj,7.6 %,2299 Broj,4.5 %,42677 Broj,83.3 %,8946 Broj,17.5 %,33964 Broj,66.3 %,10516 Broj,20.5 %,10386 Broj,20.3 %,43.97 Broj,149.6 Indeks,411 Broj,8.02 ‰,1052 Broj,20.54 ‰,10 Broj,24.3 ‰,-641 Broj,-12.52 ‰,39.07 Indeks,1.41 Koeficijent,68.6 Broj,74.1 Broj,50.8 Broj,20.2 Broj,30.6 Broj,183 Broj,71 Broj,2.6 Broj,-92 Broj,282.15 km,0.4 km,9213 Broj,180 Broj,10459 Broj,61.5 %,2656 Broj,15.6 %,27 Broj,0.5 Broj,59.5 %,30.9 %
2,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2013,707 km2,24338.73 ha,34.4 %,72 Broj,71 Broj,17016 Broj,50543 Broj,25088 Broj,25455 Broj,0.99 Odnos,1.01 Odnos,2887 Broj,5.7 %,3866 Broj,7.6 %,2185 Broj,4.3 %,42187 Broj,83.5 %,8759 Broj,17.3 %,33379 Broj,66 %,10346 Broj,20.5 %,10411 Broj,20.6 %,44.07 Broj,154.1 Indeks,385 Broj,7.62 ‰,946 Broj,18.72 ‰,5 Broj,13 ‰,-561 Broj,-11.1 ‰,40.7 Indeks,1.35 Koeficijent,69.4 Broj,74.5 Broj,51.4 Broj,20.2 Broj,31.2 Broj,173 Broj,80 Broj,2.2 Broj,-51 Broj,253.13 km,0.4 km,9380 Broj,186 Broj,10459 Broj,61.5 %,2656 Broj,15.6 %,11 Broj,0.2 Broj,59.5 %,30.9 %
3,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2014,707 km2,26483.51 ha,37.5 %,72 Broj,71 Broj,17016 Broj,49928 Broj,24785 Broj,25143 Broj,0.99 Odnos,1.01 Odnos,2812 Broj,5.6 %,3841 Broj,7.7 %,2087 Broj,4.2 %,41739 Broj,83.6 %,8564 Broj,17.2 %,32775 Broj,65.6 %,10180 Broj,20.4 %,10500 Broj,21 %,44.2 Broj,159.1 Indeks,360 Broj,7.21 ‰,967 Broj,19.37 ‰,9 Broj,25 ‰,-607 Broj,-12.16 ‰,37.23 Indeks,1.29 Koeficijent,68.8 Broj,74.2 Broj,52.3 Broj,20.3 Broj,32 Broj,181 Broj,66 Broj,2.7 Broj,-12 Broj,271.7 km,0.4 km,9488 Broj,190 Broj,10459 Broj,61.5 %,3600 Broj,21.2 %,11 Broj,0.2 Broj,59.5 %,30.9 %
4,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2015,707 km2,26483.51 ha,37.5 %,72 Broj,70 Broj,17016 Broj,49290 Broj,24467 Broj,24823 Broj,0.99 Odnos,1.01 Odnos,2731 Broj,5.5 %,3808 Broj,7.7 %,2007 Broj,4.1 %,41285 Broj,83.8 %,8347 Broj,16.9 %,32140 Broj,65.2 %,10025 Broj,20.3 %,10611 Broj,21.5 %,44.35 Broj,163.9 Indeks,371 Broj,7.53 ‰,886 Broj,17.98 ‰,2 Broj,5.4 ‰,-515 Broj,-10.45 ‰,41.87 Indeks,1.34 Koeficijent,70.1 Broj,75.4 Broj,53.4 Broj,20.3 Broj,33 Broj,213 Broj,50 Broj,4.3 Broj,-140 Broj,271.3 km,0.4 km,9679 Broj,196 Broj,10713 Broj,63 %,3751 Broj,22 %,17 Broj,0.3 Broj,59.5 %,30.9 %
5,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2016,707 km2,26483.51 ha,37.5 %,72 Broj,69 Broj,17016 Broj,48671 Broj,24155 Broj,24516 Broj,0.99 Odnos,1.01 Odnos,2694 Broj,5.5 %,3736 Broj,7.7 %,1950 Broj,4 %,40798 Broj,83.8 %,8160 Broj,16.8 %,31556 Broj,64.8 %,9885 Broj,20.3 %,10685 Broj,22 %,44.49 Broj,166.9 Indeks,370 Broj,7.6 ‰,913 Broj,18.76 ‰,1 Broj,2.7 ‰,-543 Broj,-11.16 ‰,40.53 Indeks,1.37 Koeficijent,70.4 Broj,76.1 Broj,54.2 Broj,20.4 Broj,33.9 Broj,186 Broj,77 Broj,2.4 Broj,-41 Broj,284.04 km,0.4 km,10068 Broj,207 Broj,10796 Broj,63.4 %,4204 Broj,24.7 %,14 Broj,0.3 Broj,57.9 %,29.1 %
6,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2017,707 km2,26878.11 ha,38 %,72 Broj,68 Broj,17016 Broj,48087 Broj,23868 Broj,24219 Broj,0.99 Odnos,1.01 Odnos,2658 Broj,5.5 %,3658 Broj,7.6 %,1932 Broj,4 %,40314 Broj,83.8 %,7980 Broj,16.6 %,31003 Broj,64.5 %,9766 Broj,20.3 %,10768 Broj,22.4 %,44.63 Broj,168.9 Indeks,365 Broj,7.59 ‰,874 Broj,18.18 ‰,4 Broj,11 ‰,-509 Broj,-10.58 ‰,41.76 Indeks,1.37 Koeficijent,71.9 Broj,76.2 Broj,55.1 Broj,20.4 Broj,34.7 Broj,196 Broj,94 Broj,2.1 Broj,-75 Broj,283.74 km,0.4 km,10566 Broj,220 Broj,10796 Broj,63.4 %,4370 Broj,25.7 %,21 Broj,0.4 Broj,57.9 %,29.1 %
7,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2018,707 km2,26878.11 ha,38 %,72 Broj,67 Broj,17016 Broj,47562 Broj,23616 Broj,23946 Broj,0.99 Odnos,1.01 Odnos,2646 Broj,5.6 %,3568 Broj,7.5 %,1943 Broj,4.1 %,39874 Broj,83.8 %,7762 Broj,16.3 %,30397 Broj,63.9 %,9628 Broj,20.2 %,10951 Broj,23 %,44.78 Broj,170.5 Indeks,415 Broj,8.73 ‰,806 Broj,16.95 ‰,1 Broj,2.4 ‰,-391 Broj,-8.22 ‰,51.49 Indeks,1.6 Koeficijent,71.9 Broj,77.1 Broj,56.5 Broj,20.4 Broj,36 Broj,186 Broj,80 Broj,2.3 Broj,-76 Broj,283.74 km,0.4 km,10531 Broj,221 Broj,10796 Broj,63.4 %,4370 Broj,25.7 %,15 Broj,0.3 Broj,57.9 %,29.1 %
8,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2019,707 km2,26878.11 ha,38 %,72 Broj,67 Broj,17016 Broj,47096 Broj,23412 Broj,23684 Broj,0.99 Odnos,1.01 Odnos,2654 Broj,5.6 %,3478 Broj,7.4 %,1961 Broj,4.2 %,39495 Broj,83.9 %,7637 Broj,16.2 %,29846 Broj,63.4 %,9484 Broj,20.1 %,11118 Broj,23.6 %,44.9 Broj,171.4 Indeks,399 Broj,8.47 ‰,836 Broj,17.75 ‰,4 Broj,10 ‰,-437 Broj,-9.28 ‰,47.73 Indeks,1.57 Koeficijent,72.3 Broj,76.8 Broj,57.8 Broj,20.5 Broj,37.3 Broj,197 Broj,77 Broj,2.6 Broj,-27 Broj,277.13 km,0.4 km,10996 Broj,233 Broj,10796 Broj,63.4 %,4822 Broj,28.3 %,30 Broj,0.6 Broj,57.9 %,29.1 %
9,Aleksinac,Nisavska oblast,Aleksinac,Nišavska oblast,2020,707 km2,26881.38 ha,38 %,72 Broj,66 Broj,17016 Broj,46541 Broj,23180 Broj,23361 Broj,0.99 Odnos,1.01 Odnos,2642 Broj,5.7 %,3382 Broj,7.3 %,1955 Broj,4.2 %,39056 Broj,83.9 %,7564 Broj,16.3 %,29308 Broj,63 %,9362 Broj,20.1 %,11209 Broj,24.1 %,44.93 Broj,172.3 Indeks,387 Broj,8.32 ‰,918 Broj,19.72 ‰,2 Broj,5.2 ‰,-531 Broj,-11.41 ‰,42.16 Indeks,1.55 Koeficijent,71.9 Broj,76.9 Broj,58.8 Broj,20.6 Broj,38.2 Broj,106 Broj,55 Broj,1.9 Broj,-114 Broj,277.53 km,0.4 km,11365 Broj,244 Broj,10833 Broj,63.7 %,4822 Broj,28.3 %,29 Broj,0.6 Broj,54.2 %,36.6 %
