,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2011,387 km2,13411.15 ha,34.7 %,55 Broj,69 Broj,8146 Broj,26554 Broj,13303 Broj,13251 Broj,1 Odnos,1 Odnos,1449 Broj,5.5 %,2100 Broj,7.9 %,1190 Broj,4.5 %,22142 Broj,83.4 %,4490 Broj,16.9 %,17523 Broj,66 %,5416 Broj,20.4 %,5482 Broj,20.6 %,44.21 Broj,149.5 Indeks,181 Broj,6.82 ‰,426 Broj,16.04 ‰,1 Broj,5.5 ‰,-245 Broj,-9.23 ‰,42.49 Indeks,1.22 Koeficijent,74.1 Broj,77.8 Broj,51.5 Broj,20.3 Broj,31.3 Broj,117 Broj,18 Broj,6.5 Broj,-99 Broj,464.32 km,1.2 km,6168 Broj,232 Broj,6486 Broj,79.6 %,3863 Broj,47.4 %,7 Broj,0.3 Broj,72.9 %,20.3 %
1,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2012,387 km2,13411.15 ha,34.7 %,55 Broj,68 Broj,8146 Broj,26219 Broj,13150 Broj,13069 Broj,1.01 Odnos,0.99 Odnos,1401 Broj,5.3 %,2066 Broj,7.9 %,1127 Broj,4.3 %,21928 Broj,83.6 %,4383 Broj,16.7 %,17301 Broj,66 %,5327 Broj,20.3 %,5451 Broj,20.8 %,44.44 Broj,153.9 Indeks,196 Broj,7.48 ‰,441 Broj,16.82 ‰,1 Broj,5.1 ‰,-245 Broj,-9.34 ‰,44.44 Indeks,1.36 Koeficijent,74.4 Broj,79 Broj,51.5 Broj,20 Broj,31.5 Broj,98 Broj,17 Broj,5.8 Broj,-82 Broj,464.32 km,1.2 km,6363 Broj,243 Broj,6500 Broj,79.8 %,3863 Broj,47.4 %,12 Broj,0.5 Broj,73.5 %,32.2 %
2,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2013,387 km2,13411.15 ha,34.7 %,55 Broj,67 Broj,8146 Broj,25902 Broj,12996 Broj,12906 Broj,1.01 Odnos,0.99 Odnos,1366 Broj,5.3 %,2002 Broj,7.7 %,1097 Broj,4.2 %,21718 Broj,83.8 %,4313 Broj,16.7 %,17060 Broj,65.9 %,5279 Broj,20.4 %,5474 Broj,21.1 %,44.67 Broj,160.1 Indeks,169 Broj,6.52 ‰,406 Broj,15.67 ‰,2 Broj,11.8 ‰,-237 Broj,-9.15 ‰,41.63 Indeks,1.19 Koeficijent,73.6 Broj,78.5 Broj,51.8 Broj,19.7 Broj,32.1 Broj,121 Broj,23 Broj,5.3 Broj,-69 Broj,478.84 km,1.2 km,6602 Broj,255 Broj,6508 Broj,79.9 %,3863 Broj,47.4 %,29 Broj,1.1 Broj,73.5 %,32.2 %
3,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2014,387 km2,13536.59 ha,35 %,55 Broj,66 Broj,8146 Broj,25580 Broj,12846 Broj,12734 Broj,1.01 Odnos,0.99 Odnos,1334 Broj,5.2 %,1935 Broj,7.6 %,1082 Broj,4.2 %,21512 Broj,84.1 %,4256 Broj,16.6 %,16779 Broj,65.6 %,5215 Broj,20.4 %,5532 Broj,21.6 %,44.93 Broj,166.3 Indeks,179 Broj,7 ‰,420 Broj,16.42 ‰,0 Broj,0 ‰,-241 Broj,-9.42 ‰,42.62 Indeks,1.27 Koeficijent,73.3 Broj,77.9 Broj,52.5 Broj,19.5 Broj,33 Broj,117 Broj,23 Broj,5.1 Broj,-97 Broj,484.85 km,1.3 km,6724 Broj,263 Broj,6508 Broj,79.9 %,3863 Broj,47.4 %,6 Broj,0.2 Broj,73.5 %,32.2 %
4,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2015,387 km2,13536.59 ha,35 %,55 Broj,65 Broj,8146 Broj,25248 Broj,12699 Broj,12549 Broj,1.01 Odnos,0.99 Odnos,1320 Broj,5.2 %,1884 Broj,7.5 %,1050 Broj,4.2 %,21259 Broj,84.2 %,4184 Broj,16.6 %,16449 Broj,65.1 %,5120 Broj,20.3 %,5595 Broj,22.2 %,45.11 Broj,171 Indeks,201 Broj,7.96 ‰,451 Broj,17.86 ‰,0 Broj,0 ‰,-250 Broj,-9.9 ‰,44.57 Indeks,1.45 Koeficijent,73.9 Broj,78.9 Broj,53.5 Broj,19.5 Broj,34 Broj,88 Broj,15 Broj,5.9 Broj,-77 Broj,484.85 km,1.3 km,6944 Broj,275 Broj,6508 Broj,79.9 %,3863 Broj,47.4 %,5 Broj,0.2 Broj,73.5 %,32.2 %
5,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2016,387 km2,13536.59 ha,35 %,55 Broj,64 Broj,8146 Broj,24912 Broj,12534 Broj,12378 Broj,1.01 Odnos,0.99 Odnos,1293 Broj,5.2 %,1805 Broj,7.2 %,1053 Broj,4.2 %,21032 Broj,84.4 %,4127 Broj,16.6 %,16161 Broj,64.9 %,5052 Broj,20.3 %,5653 Broj,22.7 %,45.34 Broj,176.4 Indeks,156 Broj,6.26 ‰,402 Broj,16.14 ‰,0 Broj,0 ‰,-246 Broj,-9.87 ‰,38.81 Indeks,1.15 Koeficijent,75 Broj,78.7 Broj,54.1 Broj,19.2 Broj,35 Broj,92 Broj,32 Broj,2.9 Broj,-99 Broj,488.45 km,1.3 km,7191 Broj,289 Broj,6508 Broj,79.9 %,3863 Broj,47.4 %,8 Broj,0.3 Broj,65.4 %,28.8 %
6,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2017,387 km2,13728.09 ha,35.5 %,55 Broj,63 Broj,8146 Broj,24564 Broj,12338 Broj,12226 Broj,1.01 Odnos,0.99 Odnos,1253 Broj,5.1 %,1722 Broj,7 %,1059 Broj,4.3 %,20793 Broj,84.6 %,4085 Broj,16.6 %,15892 Broj,64.7 %,4997 Broj,20.3 %,5697 Broj,23.2 %,45.56 Broj,180.6 Indeks,185 Broj,7.53 ‰,455 Broj,18.52 ‰,1 Broj,5.4 ‰,-270 Broj,-10.99 ‰,40.66 Indeks,1.39 Koeficijent,73.6 Broj,78.9 Broj,54.6 Broj,18.7 Broj,35.8 Broj,112 Broj,25 Broj,4.5 Broj,-81 Broj,479.92 km,1.2 km,7425 Broj,302 Broj,6508 Broj,79.9 %,3863 Broj,47.4 %,6 Broj,0.2 Broj,65.4 %,28.8 %
7,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2018,387 km2,13728.09 ha,35.5 %,55 Broj,63 Broj,8146 Broj,24223 Broj,12151 Broj,12072 Broj,1.01 Odnos,0.99 Odnos,1248 Broj,5.2 %,1654 Broj,6.8 %,1048 Broj,4.3 %,20524 Broj,84.7 %,4017 Broj,16.6 %,15565 Broj,64.3 %,4898 Broj,20.2 %,5756 Broj,23.8 %,45.74 Broj,184 Indeks,192 Broj,7.93 ‰,393 Broj,16.22 ‰,0 Broj,0 ‰,-201 Broj,-8.3 ‰,48.85 Indeks,1.46 Koeficijent,73.7 Broj,79.5 Broj,55.6 Broj,18.6 Broj,37 Broj,84 Broj,16 Broj,5.3 Broj,-129 Broj,479.92 km,1.2 km,7289 Broj,301 Broj,6531 Broj,80.2 %,3863 Broj,47.4 %,16 Broj,0.7 Broj,65.4 %,28.8 %
8,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2019,387 km2,13728.09 ha,35.5 %,55 Broj,62 Broj,8146 Broj,23898 Broj,11976 Broj,11922 Broj,1 Odnos,1 Odnos,1237 Broj,5.2 %,1599 Broj,6.7 %,1033 Broj,4.3 %,20296 Broj,84.9 %,3917 Broj,16.4 %,15239 Broj,63.8 %,4794 Broj,20.1 %,5823 Broj,24.4 %,45.95 Broj,188.6 Indeks,172 Broj,7.2 ‰,405 Broj,16.95 ‰,1 Broj,5.8 ‰,-233 Broj,-9.75 ‰,42.47 Indeks,1.32 Koeficijent,73.2 Broj,80.3 Broj,56.8 Broj,18.6 Broj,38.2 Broj,101 Broj,18 Broj,5.6 Broj,-88 Broj,481.73 km,1.2 km,7513 Broj,314 Broj,6531 Broj,80.2 %,3863 Broj,47.4 %,19 Broj,0.8 Broj,65.4 %,28.8 %
9,Aleksandrovac,Rasinska oblast,Aleksandrovac,Rasinska oblast,2020,387 km2,13534.11 ha,35 %,55 Broj,61 Broj,8146 Broj,23551 Broj,11781 Broj,11770 Broj,1 Odnos,1 Odnos,1224 Broj,5.2 %,1545 Broj,6.6 %,989 Broj,4.2 %,20069 Broj,85.2 %,3809 Broj,16.2 %,14906 Broj,63.3 %,4716 Broj,20 %,5876 Broj,25 %,46.03 Broj,192.9 Indeks,168 Broj,7.13 ‰,462 Broj,19.62 ‰,1 Broj,6 ‰,-294 Broj,-12.48 ‰,36.36 Indeks,1.32 Koeficijent,73.9 Broj,79.1 Broj,58 Broj,18.6 Broj,39.4 Broj,62 Broj,10 Broj,6.2 Broj,-79 Broj,486.23 km,1.3 km,7753 Broj,329 Broj,6531 Broj,80.2 %,3863 Broj,47.4 %,7 Broj,0.3 Broj,63.4 %,37.3 %
