,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
0,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2011,227 км2,220.85 ха,1 %,5 Број,75 Број,6697 Број,17017 Број,8237 Број,8780 Број,0.94 Однос,1.07 Однос,1003 Број,5.9 %,1347 Број,7.9 %,774 Број,4.5 %,14076 Број,82.7 %,3103 Број,18.2 %,11596 Број,68.1 %,3718 Број,21.8 %,3071 Број,18 %,42.63 Број,130.8 Индекс,125 Број,7.35 ‰,280 Број,16.45 ‰,0 Број,0 ‰,-155 Број,-9.11 ‰,44.64 Индекс,1.2 Коефицијент,68 Број,75.8 Број,46.7 Број,20.3 Број,26.5 Број,86 Број,28 Број,3.1 Број,19 Број,100.12 км,0.4 км,4058 Број,238 Број,5645 Број,84.3 %,0 Број,0 %,3 Број,0.2 Број,62.5 %,20.7 %
1,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2012,227 км2,220.85 ха,1 %,5 Број,74 Број,6697 Број,16877 Број,8167 Број,8710 Број,0.94 Однос,1.07 Однос,972 Број,5.8 %,1320 Број,7.8 %,780 Број,4.6 %,13998 Број,82.9 %,3067 Број,18.2 %,11477 Број,68 %,3664 Број,21.7 %,3108 Број,18.4 %,42.86 Број,134.9 Индекс,138 Број,8.18 ‰,273 Број,16.18 ‰,0 Број,0 ‰,-135 Број,-8 ‰,50.55 Индекс,1.35 Коефицијент,69.2 Број,76.2 Број,47.1 Број,20 Број,27.1 Број,79 Број,19 Број,4.2 Број,-10 Број,100.12 км,0.4 км,4205 Број,249 Број,5735 Број,85.6 %,0 Број,0 %,3 Број,0.2 Број,57 %,24.1 %
2,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2013,227 км2,220.85 ха,1 %,5 Број,74 Број,6697 Број,16714 Број,8081 Број,8633 Број,0.94 Однос,1.07 Однос,947 Број,5.7 %,1290 Број,7.7 %,765 Број,4.6 %,13914 Број,83.2 %,3019 Број,18.1 %,11356 Број,67.9 %,3622 Број,21.7 %,3121 Број,18.7 %,43.05 Број,138.3 Индекс,121 Број,7.24 ‰,284 Број,16.99 ‰,0 Број,0 ‰,-163 Број,-9.75 ‰,42.61 Индекс,1.19 Коефицијент,69.3 Број,75.3 Број,47.2 Број,19.7 Број,27.5 Број,87 Број,67 Број,1.3 Број,-16 Број,100.12 км,0.4 км,4202 Број,251 Број,5753 Број,85.9 %,359 Број,5.4 %,1 Број,0.1 Број,57 %,24.1 %
3,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2014,227 км2,228.93 ха,1 %,5 Број,73 Број,6697 Број,16555 Број,8000 Број,8555 Број,0.94 Однос,1.07 Однос,938 Број,5.7 %,1270 Број,7.7 %,729 Број,4.4 %,13812 Број,83.4 %,2955 Број,17.8 %,11200 Број,67.7 %,3573 Број,21.6 %,3147 Број,19 %,43.22 Број,142.1 Индекс,150 Број,9.06 ‰,268 Број,16.19 ‰,0 Број,0 ‰,-118 Број,-7.13 ‰,55.97 Индекс,1.5 Коефицијент,69.2 Број,77 Број,47.8 Број,19.7 Број,28.1 Број,78 Број,33 Број,2.4 Број,-23 Број,100.12 км,0.4 км,4293 Број,259 Број,5963 Број,89 %,651 Број,9.7 %,0 Број,0 Број,57 %,24.1 %
4,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2015,227 км2,228.93 ха,1 %,5 Број,72 Број,6697 Број,16400 Број,7926 Број,8474 Број,0.94 Однос,1.07 Однос,935 Број,5.7 %,1257 Број,7.7 %,690 Број,4.2 %,13707 Број,83.6 %,2868 Број,17.5 %,11009 Број,67.1 %,3527 Број,21.5 %,3199 Број,19.5 %,43.37 Број,146.5 Индекс,125 Број,7.62 ‰,291 Број,17.74 ‰,0 Број,0 ‰,-166 Број,-10.12 ‰,42.96 Индекс,1.25 Коефицијент,69 Број,76.6 Број,49 Број,19.9 Број,29.1 Број,91 Број,36 Број,2.5 Број,-3 Број,100.12 км,0.4 км,4402 Број,268 Број,5963 Број,89 %,877 Број,13.1 %,3 Број,0.2 Број,57 %,24.1 %
5,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2016,227 км2,228.93 ха,1 %,5 Број,72 Број,6697 Број,16237 Број,7852 Број,8385 Број,0.94 Однос,1.07 Однос,921 Број,5.7 %,1232 Број,7.6 %,668 Број,4.1 %,13593 Број,83.7 %,2807 Број,17.3 %,10842 Број,66.8 %,3473 Број,21.4 %,3242 Број,20 %,43.53 Број,150.8 Индекс,122 Број,7.51 ‰,286 Број,17.61 ‰,0 Број,0 ‰,-164 Број,-10.1 ‰,42.66 Индекс,1.24 Коефицијент,69.1 Број,77.3 Број,49.8 Број,19.9 Број,29.9 Број,86 Број,34 Број,2.5 Број,8 Број,100.12 км,0.4 км,4500 Број,277 Број,5963 Број,89 %,1099 Број,16.4 %,1 Број,0.1 Број,52 %,37.9 %
6,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2017,227 км2,228.93 ха,1 %,5 Број,71 Број,6697 Број,16093 Број,7791 Број,8302 Број,0.94 Однос,1.07 Однос,923 Број,5.7 %,1201 Број,7.5 %,659 Број,4.1 %,13475 Број,83.7 %,2773 Број,17.2 %,10695 Број,66.5 %,3422 Број,21.3 %,3274 Број,20.3 %,43.65 Број,153 Индекс,145 Број,9.01 ‰,288 Број,17.9 ‰,0 Број,0 ‰,-143 Број,-8.89 ‰,50.35 Индекс,1.49 Коефицијент,69.9 Број,76.1 Број,50.5 Број,19.9 Број,30.6 Број,87 Број,32 Број,2.7 Број,10 Број,100.14 км,0.4 км,4640 Број,288 Број,5963 Број,89 %,1259 Број,18.8 %,1 Број,0.1 Број,52 %,37.9 %
7,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2018,227 км2,228.93 ха,1 %,5 Број,70 Број,6697 Број,15943 Број,7735 Број,8208 Број,0.94 Однос,1.06 Однос,929 Број,5.8 %,1169 Број,7.3 %,650 Број,4.1 %,13350 Број,83.7 %,2741 Број,17.2 %,10558 Број,66.2 %,3396 Број,21.3 %,3287 Број,20.6 %,43.76 Број,154.8 Индекс,130 Број,8.15 ‰,292 Број,18.32 ‰,0 Број,0 ‰,-162 Број,-10.16 ‰,44.52 Индекс,1.35 Коефицијент,69.7 Број,76.2 Број,51 Број,19.9 Број,31.1 Број,82 Број,41 Број,2 Број,-4 Број,100.14 км,0.4 км,4714 Број,296 Број,5963 Број,89 %,1259 Број,18.8 %,1 Број,0.1 Број,52 %,37.9 %
8,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2019,227 км2,228.93 ха,1 %,5 Број,70 Број,6697 Број,15779 Број,7671 Број,8108 Број,0.95 Однос,1.06 Однос,929 Број,5.9 %,1140 Број,7.2 %,656 Број,4.2 %,13220 Број,83.8 %,2694 Број,17.1 %,10402 Број,65.9 %,3354 Број,21.3 %,3308 Број,21 %,43.87 Број,156.2 Индекс,141 Број,8.94 ‰,280 Број,17.75 ‰,1 Број,7.1 ‰,-139 Број,-8.81 ‰,50.36 Индекс,1.5 Коефицијент,69.5 Број,76.2 Број,51.7 Број,19.9 Број,31.8 Број,78 Број,44 Број,1.8 Број,-24 Број,100.16 км,0.4 км,4694 Број,297 Број,6210 Број,92.7 %,1418 Број,21.2 %,2 Број,0.1 Број,52 %,37.9 %
9,Ada,Severnobanatska oblast,Ада,Севернобанатска област,2020,227 км2,351.77 ха,1.6 %,5 Број,69 Број,6697 Број,15617 Број,7595 Број,8022 Број,0.95 Однос,1.06 Однос,928 Број,5.9 %,1108 Број,7.1 %,647 Број,4.1 %,13104 Број,83.9 %,2639 Број,16.9 %,10229 Број,65.5 %,3309 Број,21.2 %,3352 Број,21.5 %,43.95 Број,157.6 Индекс,117 Број,7.49 ‰,262 Број,16.78 ‰,1 Број,8.5 ‰,-145 Број,-9.28 ‰,44.66 Индекс,1.27 Коефицијент,69 Број,77.1 Број,52.7 Број,19.9 Број,32.8 Број,62 Број,25 Број,2.5 Број,-16 Број,100.16 км,0.4 км,4817 Број,308 Број,6214 Број,92.8 %,1472 Број,22 %,3 Број,0.2 Број,49.9 %,37.9 %
